budget_fiscal_year,department_name,fund_name,account_name,adopted_budget_amount,total_expenditures,budget_change_amount,budget_transfer_in_amount,budget_transfer_out_amount,total_budget,encumbrance_amount,pre_encumbrance_amount,budget_uncommitted_amount,account_group_name,fund,account,department
2017,AGING,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,1811882.0,1248695.94,93339.0,0.0,536334.0,1368887.0,0.0,0.0,120191.06,EXPENSES,100,003040,2
2017,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 9 MONTH,0.0,204159.0,229429.0,0.0,0.0,229429.0,0.0,0.0,25270.0,,47Y,02ND01,2
2017,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES FOR SENIORS,0.0,54285.0,71102.0,0.0,0.0,71102.0,16817.0,0.0,0.0,,395,02NQ01,2
2017,AGING,AREA PLAN FOR THE AGING TIT 7,FAMILY CAREGIVER SUPPORT FOR SENIORS,0.0,3510.0,3510.0,0.0,0.0,3510.0,0.0,0.0,0.0,,395,02NQ09,2
2017,AGING,OTHER PROGRAMS FOR THE AGING,AGING,476798.0,317802.98,-158622.0,0.0,0.0,318176.0,0.0,0.0,373.02,,410,02N102,2
2017,AGING,AREA PLAN FOR THE AGING TIT 7,SOCIAL SERVICES III B,0.0,2657920.0,2790255.0,0.0,0.0,2790255.0,129848.0,0.0,2487.0,,395,02NA01,2
2017,AGING,AREA PLAN FOR THE AGING TIT 7,AGING,2350300.0,1802813.39,290491.0,0.0,0.0,2640791.0,0.0,0.0,837977.61,,395,02N102,2
2017,AGING,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,9125.0,6000.0,3093.0,0.0,4000.0,8218.0,0.0,0.0,2218.0,EXPENSES,100,003310,2
2017,AGING,OTHER PROGRAMS FOR THE AGING,ENROLLEE WAGES,0.0,1446803.5,1616947.0,0.0,0.0,1616947.0,0.0,0.0,170143.5,,410,021021,2
2017,AGING,HEALTH INS COUNS ADV (HICAP),HICAP 3 MONTH,0.0,55506.0,55506.0,0.0,0.0,55506.0,0.0,0.0,0.0,,47Y,02NDD1,2
2017,AGING,GENERAL FUND (GENERAL BUDGET),PRINTING AND BINDING,7801.0,21132.15,37987.0,4000.0,113.0,49675.0,0.0,0.0,28542.85,EXPENSES,100,002120,2
2017,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS III C1,0.0,4044925.0,4416665.0,0.0,0.0,4416665.0,365414.0,0.0,6326.0,,395,02NA02,2
2017,AGING,OMBUDSMAN INITIATIVE PROGRAM F,PUBLIC HEALTH LCPF,0.0,31068.0,31068.0,0.0,0.0,31068.0,0.0,0.0,0.0,,46V,02NC04,2
2017,AGING,TITLE VII OLDER AMERICANS ACT,ELDER ABUSE PREV PROGR FOR SENIORS,0.0,2847.0,2847.0,0.0,0.0,2847.0,0.0,0.0,0.0,,564,02NQB2,2
2017,AGING,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,3900.0,5678.05,0.0,6000.0,0.0,9900.0,0.0,0.0,4221.95,SALARIES AND BENEFITS,100,001090,2
2017,AGING,SENIOR HUMAN SERVICES PROGRAM,EARS,0.0,123871.74,151062.0,0.0,0.0,151062.0,17970.13,0.0,9220.13,,42J,02P332,2
2017,AGING,AREA PLAN FOR THE AGING TIT 7,NSIP CONGRAGATE MEALS III C1,0.0,530064.0,530064.0,0.0,0.0,530064.0,0.0,0.0,0.0,,395,02NA07,2
2017,AGING,SENIOR HUMAN SERVICES PROGRAM,EVIDENCE BASED PROGRAMS,0.0,298125.0,298447.0,0.0,0.0,298447.0,130.0,0.0,192.0,,42J,02P340,2
2017,AGING,TITLE VII OLDER AMERICANS ACT,OMBUDSMAN VII A PROGRAM,0.0,91346.0,91346.0,0.0,0.0,91346.0,0.0,0.0,0.0,,564,02NB01,2
2017,AGING,AREA PLAN FOR THE AGING TIT 7,HOME DELIVERED MEALS FOR SENIORS,0.0,2306503.0,2543845.0,0.0,0.0,2543845.0,236108.0,0.0,1234.0,,395,02NQ04,2
